Entity,Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2),Latitude,Longitude
Togo,2020,53.997433,10.1,8.72,,,0.43,0,0.15,25.862072,1152.5186,,,,1.75282497,914.950793,152,56785,8.619543,0.824782
Tonga,2020,100,84.1,73.33,,,0.06,0,0.01,14.285714,6542.066,,,,0.6546986,4624.82345,147,747,-21.178986,-175.19824
Trinidad and Tobago,2020,100,100,2.15,,,8.2,0,0.01,0.12180268,108794.93,,,0.00731201,-7.8539399,15425.6351,273,5128,10.691803,-61.222503
Tunisia,2020,100,99.8,33.92,,,18.73,0,0.85,4.3411646,9290.702,,,,-9.1823726,3521.59195,76,163610,33.886917,9.537499
Turkey,2020,100,95.2,585.71,,,177.08,0,128.34,42.02082,21435.07,,,19.15011,1.7935514,8536.43332,110,783562,38.963745,35.243322
Turkmenistan,2020,100,99.9,0.2,,,20.11,0,0,0,67626.92,,,0.00716115,,,13,488100,38.969719,59.556278
Tuvalu,2020,99.68923,70.6,196.07,,,,,,,0,,,,4.4,4143.10975,393,26,-7.109535,177.64933
Uganda,2020,42.074417,0.5,25.89,,,0.13,0,4.32,97.07866,766.4143,,,,2.95130642,822.027682,229,241038,1.373333,32.290275
Ukraine,2020,100,94.9,,,,54.5,76.2,17.56,63.240257,20916.844,,,4.8960786,-4.0000061,3724.93844,75,603550,48.379433,31.16558
United Arab Emirates,2020,100,100,256.84,,,119.49,1.56,5.5,5.5788226,126073.66,,,1.0150354,-6.1345008,36284.5552,118,83600,23.424076,53.847818
United Kingdom,2020,100,100,,,,124.78,50.85,131.74,59.403976,29425.54,,,20.078987,-9.39616,41059.1688,281,243610,55.378051,-3.435973
United States,2020,100,100,,,,2431.9,789.88,821.4,39.8518,73236.14,,,10.532232,-3.4045916,63593.4436,36,9833517,37.09024,-95.712891
Uruguay,2020,100,100,1075.17,,,2.4,0,11.14,82.27474,17631.44,,,,-5.8587212,15438.4117,20,176215,-32.522779,-55.765835
Uzbekistan,2020,100,84.25,60.02,,,50.93,0,5.01,8.956025,15860.609,,,2.523421,1.71477058,1750.69711,79,447400,41.377491,64.585262
Vanuatu,2020,67.33327,7.6,37.84,,,0.05,0,0.02,28.571428,2923.538,,,,-6.8139911,2870.0893,25,12189,-15.376706,166.959158
Yemen,2020,73.75793,61.5,8.48,,,2.74,0,0.49,15.170279,1092.0021,,,,,,56,527968,15.552727,48.516388
Zambia,2020,44.524475,10.4,138.23,,,2,0,13.1,86.75497,3099.083,,,,-2.7850551,985.132436,25,752618,-13.133897,27.849332
Zimbabwe,2020,52.74767,30.4,80.61,30000,81.9,3.4,0,4.19,55.204216,2680.1318,10,,,-6.2487482,1214.50982,38,390757,-19.015438,29.154857
